customer_id,plan_type,monthly_fee,tenure_months,avg_weekly_usage_hours,last_login_days,support_tickets,payment_failures,discount_used,churn_flag
256,Standard,480,3,4.3,42,3,0,No,1
257,Premium,838,12,7.9,16,2,4,No,0
258,Standard,481,25,5.2,4,2,0,No,1
259,Standard,446,17,6.4,43,1,2,No,0
260,Basic,220,19,5.6,19,1,1,No,0
261,Standard,447,2,6.0,22,1,1,No,0
262,Premium,750,17,9.1,38,1,1,No,0
263,Basic,277,30,7.1,3,0,2,No,1
264,Standard,399,10,3.6,25,0,0,No,0
265,Premium,764,35,5.3,29,0,0,Yes,0
266,Standard,462,33,5.2,47,0,0,Yes,0
267,Standard,406,1,6.4,46,2,0,No,1
268,Standard,484,18,7.8,45,0,0,No,0
269,Basic,223,4,6.1,28,1,0,No,1
270,Basic,264,27,6.0,33,2,0,No,0
271,Premium,896,25,1.5,9,3,0,No,1
272,Premium,792,28,8.6,19,3,1,Yes,0
273,Premium,877,22,5.7,23,0,0,No,0
274,Premium,879,25,6.5,33,3,0,No,1
275,Standard,413,17,6.5,36,1,0,Yes,0
276,Standard,448,12,4.5,12,2,1,No,1
277,Standard,469,16,5.5,22,2,2,No,0
278,Standard,473,16,4.4,9,1,0,Yes,0
279,Standard,436,17,8.8,21,0,1,No,0
280,Standard,438,31,1.6,44,1,0,No,0
281,Premium,892,15,4.1,13,2,0,No,0
282,Basic,237,13,5.4,24,0,2,No,1
283,Basic,272,27,9.0,17,0,1,Yes,1
284,Basic,215,21,7.4,19,4,0,No,0
285,Standard,405,2,2.7,54,0,1,Yes,0
286,Basic,237,8,5.8,27,1,1,No,1
287,Standard,466,7,7.4,7,1,0,No,0
288,Standard,433,10,10.5,4,2,1,No,0
289,Basic,249,4,5.3,20,0,0,No,0
290,Standard,445,35,3.6,19,0,0,No,0
291,Basic,234,3,6.6,56,0,1,Yes,1
292,Basic,262,18,5.9,43,1,1,No,1
293,Premium,793,24,6.9,15,1,0,No,0
294,Basic,287,32,7.4,57,2,0,No,0
295,Basic,211,34,6.6,19,1,0,No,0
296,Standard,416,2,7.1,50,1,1,No,0
297,Standard,419,2,9.3,24,0,0,No,1
298,Basic,263,10,5.4,6,0,0,Yes,0
299,Standard,498,23,3.6,24,2,1,No,0
300,Basic,206,15,6.6,35,1,1,No,0
301,Basic,246,12,3.4,50,0,0,Yes,1
302,Standard,483,17,3.8,9,0,1,No,0
303,Standard,441,18,4.4,39,2,0,No,0
304,Standard,451,14,3.5,15,1,1,Yes,1
305,Standard,483,17,8.3,3,0,1,No,0
306,Premium,853,15,6.1,9,1,1,No,0
307,Standard,417,12,7.4,50,0,0,Yes,1
308,Basic,221,16,7.0,47,1,1,Yes,1
309,Standard,448,32,5.6,30,2,0,No,0
310,Basic,249,23,7.9,11,1,1,No,1
311,Basic,241,34,5.0,19,3,0,No,1
312,Basic,297,34,5.7,31,1,0,No,0
313,Basic,249,16,4.6,1,1,1,Yes,1
314,Premium,804,34,8.8,59,1,0,No,0
315,Premium,810,7,5.8,10,2,1,No,0
316,Standard,467,33,7.2,19,2,1,No,1
317,Basic,239,4,4.8,22,1,1,Yes,0
318,Basic,270,7,7.7,12,1,1,No,0
319,Basic,209,18,7.5,34,0,1,No,0
320,Basic,278,4,2.7,16,2,0,Yes,1
321,Standard,486,11,6.0,9,2,1,No,0
322,Standard,483,20,6.2,39,1,1,No,0
323,Standard,450,11,5.4,37,1,0,Yes,0
324,Basic,221,15,8.8,13,0,0,Yes,0
325,Premium,747,17,3.6,18,2,0,Yes,0
326,Standard,436,34,5.1,31,0,0,No,1
327,Standard,445,12,4.3,55,0,2,No,1
328,Standard,470,28,8.1,53,1,0,No,0
329,Basic,205,35,3.9,32,1,1,No,1
330,Basic,264,8,2.3,56,0,0,Yes,0
331,Basic,292,27,6.9,42,1,2,No,1
332,Standard,475,22,5.7,24,1,0,Yes,1
333,Basic,260,24,8.1,24,0,0,Yes,0
334,Basic,285,2,7.6,13,1,0,Yes,0
335,Basic,227,31,5.9,44,2,2,No,0
336,Basic,236,22,3.1,43,2,2,No,1
337,Premium,823,1,3.6,53,3,1,No,0
338,Standard,482,14,2.5,37,1,1,Yes,1
339,Standard,431,25,5.7,35,1,1,Yes,0
340,Basic,227,3,4.7,23,0,1,No,1
341,Standard,477,5,5.6,40,1,1,No,0
342,Standard,421,1,6.3,59,0,0,No,0
343,Basic,201,19,9.8,38,1,0,Yes,0
344,Basic,291,33,7.2,38,0,0,No,0
345,Basic,243,30,6.1,12,1,0,No,1
346,Standard,406,12,2.9,1,1,0,Yes,0
347,Standard,484,10,6.1,33,0,0,Yes,0
348,Basic,227,34,7.8,59,0,1,Yes,1
349,Basic,200,16,6.8,14,0,2,No,0
350,Standard,448,29,3.9,57,0,0,No,0
351,Standard,463,15,5.2,47,2,0,No,1
352,Premium,806,11,6.1,58,0,0,No,0
353,Standard,418,34,5.2,1,0,0,No,0
354,Basic,250,30,4.8,51,2,0,Yes,0
355,Basic,283,35,1.7,24,0,0,No,0
356,Standard,435,9,4.5,4,0,2,Yes,0
357,Basic,270,18,6.5,33,0,1,Yes,0
358,Standard,425,19,7.8,51,2,1,No,1
359,Premium,873,4,6.2,38,3,1,Yes,0
360,Standard,497,6,8.1,4,0,0,Yes,0
361,Basic,204,33,5.8,42,0,1,Yes,0
362,Standard,458,32,4.2,7,2,1,No,0
363,Standard,443,16,5.1,48,0,1,No,0
364,Standard,442,11,7.0,13,2,0,No,1
365,Premium,781,22,5.5,28,3,1,No,0
366,Basic,216,23,4.7,29,0,2,No,0
367,Premium,818,26,2.9,36,0,0,No,0
368,Premium,763,31,4.2,3,3,2,No,0
369,Basic,223,29,5.2,34,2,1,Yes,0
370,Basic,225,5,4.8,6,1,0,No,0
371,Basic,205,25,4.1,25,2,0,No,0
372,Basic,242,34,9.1,31,3,1,No,1
373,Basic,227,12,7.2,42,1,0,No,0
374,Standard,493,22,10.4,32,1,0,No,0
375,Basic,242,9,2.8,53,0,0,No,0
376,Basic,234,20,6.6,23,0,0,Yes,0
377,Premium,845,29,5.1,49,2,0,Yes,0
378,Basic,204,29,6.0,53,2,0,No,0
379,Premium,851,27,9.7,58,2,0,No,0
380,Basic,229,17,2.5,0,1,0,Yes,0
381,Basic,207,5,4.9,28,1,0,Yes,0
382,Standard,482,13,4.5,47,2,2,No,1
383,Standard,472,15,4.9,44,0,0,Yes,0
384,Premium,863,15,1.8,37,1,2,Yes,1
385,Standard,425,18,8.6,37,2,1,Yes,0
386,Premium,711,2,8.7,20,2,2,No,0
387,Basic,239,23,7.2,22,1,1,No,0
388,Basic,264,13,3.3,45,6,0,No,0
389,Standard,483,4,6.6,4,3,0,No,0
390,Premium,722,25,7.7,29,2,0,No,1
391,Premium,742,11,6.8,39,0,0,Yes,0
392,Basic,296,12,5.9,17,2,1,No,0
393,Basic,258,13,8.8,5,1,1,Yes,0
394,Standard,407,9,4.6,4,1,2,No,0
395,Basic,200,6,5.7,41,1,0,Yes,1
396,Premium,754,10,7.3,17,2,0,No,0
397,Premium,856,23,6.6,58,2,2,No,0
398,Basic,220,15,7.1,12,4,1,No,0
399,Standard,473,23,7.1,54,1,0,No,0
400,Standard,479,34,7.0,19,2,0,No,1
401,Basic,298,16,5.3,37,3,1,Yes,1
402,Premium,711,32,4.6,20,1,1,Yes,1
403,Standard,469,5,6.3,3,1,0,No,0
404,Premium,714,17,9.0,12,1,0,No,0
405,Basic,295,22,6.0,17,0,1,No,0
406,Premium,743,18,7.2,12,0,2,No,0
407,Basic,263,28,6.2,12,2,0,No,0
408,Basic,209,13,10.1,38,1,0,No,0
409,Premium,768,1,5.7,36,0,0,No,0
410,Basic,218,19,7.2,34,1,0,No,0
411,Basic,297,34,4.6,37,0,1,Yes,0
412,Premium,889,4,3.8,39,1,0,No,0
413,Premium,799,3,6.0,26,2,1,No,0
414,Standard,488,10,8.4,57,1,1,No,0
415,Standard,410,28,7.3,25,5,0,No,0
416,Basic,260,34,1.8,11,2,1,No,1
417,Basic,292,19,7.5,1,0,1,Yes,0
418,Basic,290,3,2.9,42,1,1,No,1
419,Standard,489,23,7.7,57,0,0,Yes,0
420,Standard,440,17,7.1,59,1,0,No,0
421,Standard,481,7,5.7,19,0,0,Yes,0
422,Standard,467,26,7.5,34,3,0,No,0
423,Basic,256,18,5.5,54,0,1,Yes,0
424,Standard,403,6,6.3,9,2,1,Yes,1
425,Basic,225,31,3.1,7,3,1,No,0
426,Standard,426,29,5.5,39,2,0,No,0
427,Basic,224,9,7.8,45,0,0,No,0
428,Premium,814,35,3.3,35,0,0,Yes,0
429,Basic,247,17,7.6,30,2,0,No,0
430,Basic,219,12,2.0,14,1,0,No,0
431,Basic,199,24,3.6,41,0,0,No,0
432,Standard,490,10,5.4,17,0,1,Yes,0
433,Standard,456,30,6.3,53,0,1,No,0
434,Basic,277,29,4.9,14,0,1,Yes,0
435,Basic,253,10,4.8,18,2,1,No,1
436,Standard,479,28,8.2,23,0,1,Yes,1
437,Basic,224,18,8.4,34,1,1,No,0
438,Premium,851,17,5.2,1,0,0,No,0
439,Standard,475,11,5.2,12,0,0,No,0
440,Basic,231,1,5.4,44,1,2,No,0
441,Basic,287,17,10.4,56,1,0,No,0
442,Premium,770,9,6.0,8,0,1,No,0
443,Basic,267,28,9.1,56,1,0,Yes,0
444,Basic,204,33,7.5,34,1,0,No,0
445,Premium,721,3,5.8,1,0,0,No,0
446,Premium,856,8,4.7,45,2,0,Yes,1
447,Premium,752,6,7.6,15,1,0,Yes,0
448,Standard,485,6,4.4,45,3,1,No,1
449,Basic,209,29,5.2,35,1,0,No,0
450,Basic,229,12,7.3,1,0,0,No,0
451,Standard,404,9,5.5,15,1,0,No,0
452,Standard,409,19,5.2,7,1,0,No,0
453,Basic,275,17,5.4,57,0,0,No,0
454,Premium,710,32,4.6,0,4,0,Yes,1
455,Basic,264,35,6.9,17,1,0,No,0
456,Standard,451,14,6.1,53,2,1,No,0
457,Basic,297,16,3.3,40,0,0,No,0
458,Standard,434,21,5.0,25,1,0,No,0
459,Basic,215,12,5.3,43,1,0,Yes,1
460,Basic,226,24,5.3,4,1,0,No,0
461,Basic,290,34,7.2,20,3,0,No,0
462,Standard,420,8,4.6,34,1,0,No,0
463,Standard,405,21,11.4,39,3,0,No,1
464,Standard,413,8,8.8,27,2,1,No,0
465,Premium,837,28,8.8,53,2,0,Yes,0
466,Basic,222,16,3.9,25,1,0,Yes,0
467,Basic,265,10,1.9,31,4,1,No,1
468,Premium,728,15,5.3,59,1,0,Yes,1
469,Basic,268,4,6.6,47,2,0,No,0
470,Premium,764,26,5.7,49,1,2,No,1
471,Basic,259,15,4.9,43,1,0,No,0
472,Premium,776,32,2.5,43,1,0,No,0
473,Basic,239,4,4.7,20,2,0,No,0
474,Premium,780,9,5.5,3,2,0,No,0
475,Standard,449,35,5.0,58,0,1,Yes,0
476,Premium,870,28,5.0,41,1,0,No,0
477,Basic,293,9,4.4,40,1,1,No,0
478,Standard,411,2,9.3,35,1,1,No,0
479,Premium,788,3,7.4,23,5,0,Yes,1
480,Standard,410,5,7.9,32,3,2,Yes,1
481,Standard,480,10,6.5,4,3,0,No,0
482,Standard,407,28,3.3,56,1,1,No,0
483,Standard,483,15,7.5,2,4,0,No,0
484,Standard,446,14,8.7,10,2,0,No,0
485,Standard,447,23,9.0,44,0,0,Yes,0
486,Premium,751,13,7.2,31,0,0,Yes,0
487,Basic,254,16,6.0,21,1,0,Yes,0
488,Basic,238,30,6.0,10,0,1,No,0
489,Premium,805,8,7.0,57,1,0,No,0
490,Premium,722,17,2.7,37,3,0,No,1
491,Standard,496,30,7.3,58,1,1,No,0
492,Standard,470,17,5.0,21,0,0,No,1
493,Basic,231,35,10.4,3,0,1,Yes,0
494,Basic,221,1,5.4,38,1,0,No,0
495,Standard,475,24,6.4,2,1,0,No,0
496,Basic,252,25,6.3,53,2,0,No,0
497,Standard,451,2,4.6,9,2,0,Yes,0
498,Basic,247,25,6.9,36,1,3,No,0
499,Premium,776,14,6.7,18,1,0,No,0
500,Premium,778,33,8.0,17,0,1,No,0
501,Standard,447,17,7.4,27,1,1,Yes,1
502,Standard,458,31,6.4,30,4,1,No,1
503,Basic,288,10,4.4,16,3,2,Yes,1
504,Premium,788,6,4.4,23,2,0,No,0
505,Standard,463,25,9.3,0,2,0,Yes,0
506,Basic,230,30,6.2,4,1,0,No,0
507,Premium,819,34,10.2,31,5,1,No,1
508,Premium,847,18,4.4,52,0,1,No,1
509,Premium,844,24,10.4,16,1,3,Yes,1
510,Standard,492,27,4.1,56,1,2,No,1
511,Standard,458,27,5.1,20,1,0,No,0
512,Basic,211,21,6.9,40,0,1,No,0
513,Premium,850,19,8.0,42,0,1,Yes,1
514,Premium,728,23,7.4,21,0,0,No,0
515,Basic,200,15,2.2,38,0,0,No,0
516,Basic,281,2,4.9,38,1,1,No,0
517,Basic,223,35,3.7,33,0,1,No,0
518,Premium,748,20,3.2,13,2,1,Yes,0
519,Premium,712,28,6.0,15,3,0,No,0
520,Basic,204,15,1.8,4,2,0,No,0
521,Standard,474,16,8.0,17,0,0,Yes,0
522,Basic,282,33,7.5,3,0,2,No,1
523,Premium,785,12,9.2,43,1,1,No,0
524,Premium,856,20,3.9,50,0,0,Yes,0
525,Premium,728,29,4.1,27,1,0,Yes,0
526,Standard,436,3,8.1,44,3,0,No,0
527,Basic,256,5,8.3,26,1,0,Yes,0
528,Basic,292,2,8.7,5,2,1,Yes,0
529,Basic,239,23,8.3,10,3,1,No,0
530,Premium,792,26,6.4,46,0,0,Yes,1
531,Premium,755,26,5.1,20,0,1,No,0
532,Premium,862,7,7.5,16,0,0,No,0
533,Premium,762,10,5.1,30,2,0,No,0
534,Standard,496,5,6.2,33,1,1,No,0
535,Standard,414,12,5.2,12,2,0,No,1
536,Premium,786,32,6.5,22,1,0,No,0
537,Premium,776,31,8.5,56,1,0,No,0
538,Basic,288,22,5.3,0,3,0,Yes,0
539,Standard,470,17,5.0,3,1,1,No,1
540,Basic,212,20,5.8,29,2,2,No,1
541,Premium,729,20,3.6,30,2,0,No,0
542,Standard,464,8,7.3,46,0,2,No,0
543,Basic,266,34,6.2,15,2,1,Yes,0
544,Standard,463,23,5.9,42,0,1,No,0
545,Standard,453,28,6.7,2,0,0,Yes,0
546,Basic,282,13,3.1,11,0,1,No,1
547,Basic,276,29,8.8,11,0,1,Yes,1
548,Standard,438,8,5.0,10,1,1,No,0
549,Standard,423,11,5.3,15,0,0,No,0
550,Standard,423,18,7.7,28,1,0,Yes,0
551,Standard,401,25,7.2,52,1,0,No,0
552,Premium,767,22,10.0,20,2,1,No,0
553,Standard,424,35,4.1,44,2,0,No,1
554,Standard,438,29,4.1,43,3,0,No,1
555,Premium,736,21,3.6,41,1,0,No,1
556,Basic,236,7,6.3,57,0,0,Yes,0
557,Basic,266,12,5.5,42,2,2,No,0
558,Basic,205,24,4.6,49,3,0,No,0
559,Standard,492,32,5.9,4,0,0,Yes,0
560,Standard,428,27,3.9,51,1,0,No,1
561,Standard,417,32,9.1,12,0,2,No,0
562,Basic,233,32,4.6,16,3,0,No,0
563,Basic,231,32,4.9,11,3,1,Yes,1
